2 theta,Intensity
9.885149982,-0.003425781
9.905589521,-0.059814004
9.92602906,-0.00742999
9.946468599,0.067543869
9.966908138,0.06788535
9.987347677,0.09602501
10.00778722,0.105087849
10.02822676,0.065559976
10.04866629,-0.013878051
10.06910583,0.128926544
10.08954537,0.141543206
10.10998491,0.070846936
10.13042445,0.053990511
10.15086399,0.096182263
10.17130353,0.110616639
10.19174307,0.057363082
10.21218261,0.255866036
10.23262215,-0.021305053
10.25306169,0.00189148
10.27350122,0.063302858
10.29394076,0.013623525
10.3143803,-0.058604851
10.33481984,0.048006617
10.35525938,-0.025917069
10.37569892,-0.103292577
10.39613846,0.026775106
10.416578,-0.018484033
10.43701754,-0.044625548
10.45745708,0.052517226
10.47789662,-0.072541822
10.49833615,-0.050011025
10.51877569,0.012470728
10.53921523,-0.030929897
10.55965477,0.029856546
10.58009431,0.061149501
10.60053385,-0.055106589
10.62097339,0.113379945
10.64141293,0.057928545
10.66185247,0.153539213
10.68229201,0.077295281
10.70273155,0.049682861
10.72317109,0.079382508
10.74361062,-0.067980778
10.76405016,0.03988467
10.7844897,0.064437185
10.80492924,-0.152309344
10.82536878,0.00943675
10.84580832,0.047939356
10.86624786,-0.031593194
10.8866874,-0.07464701
10.90712694,0.032650612
10.92756648,0.035801967
10.94800602,0.0823765
10.96844555,-0.001236899
10.98888509,0.097461769
11.00932463,0.053819726
11.02976417,0.178600862
11.05020371,0.081180175
11.07064325,0.145238223
11.09108279,0.080844449
11.11152233,0.141471075
11.13196187,0.172604213
11.15240141,0.085702196
11.17284095,0.021390024
11.19328048,0.066473253
11.21372002,0.120257437
11.23415956,0.113298133
11.2545991,0.127192563
11.27503864,0.189718505
11.29547818,0.090806513
11.31591772,0.137748256
11.33635726,0.137835399
11.3567968,0.132734609
11.37723634,0.138070887
11.39767588,0.179885898
11.41811541,0.332832421
11.43855495,0.168091011
11.45899449,0.303717224
11.47943403,0.236238837
11.49987357,0.114961406
11.52031311,0.155162709
11.54075265,0.198856635
11.56119219,0.296390406
11.58163173,0.183875133
11.60207127,0.342213594
11.62251081,0.333905788
11.64295034,0.006173939
11.66338988,0.275684712
11.68382942,0.213618664
11.70426896,0.234906349
11.7247085,0.065242213
11.74514804,0.086570699
11.76558758,0.265905698
11.78602712,0.098038874
11.80646666,0.409359117
11.8269062,0.264102539
11.84734574,0.354977473
11.86778527,0.369483918
11.88822481,0.149635763
11.90866435,0.183280232
11.92910389,0.246458989
11.94954343,0.34438037
11.96998297,0.136766595
11.99042251,0.272923221
12.01086205,0.160836358
12.03130159,0.16335323
12.05174113,0.30477939
12.07218067,0.293448174
12.09262021,0.292554024
12.11305974,0.272583053
12.13349928,0.396729705
12.15393882,0.427146757
12.17437836,0.204111987
12.1948179,0.458528174
12.21525744,0.265048094
12.23569698,0.326796748
12.25613652,0.425024136
12.27657606,0.290633036
12.2970156,0.364595669
12.31745514,0.389967592
12.33789467,0.349387693
12.35833421,0.341814306
12.37877375,0.417594652
12.39921329,0.41700651
12.41965283,0.232410991
12.44009237,0.303044206
12.46053191,0.436197821
12.48097145,0.390552393
12.50141099,0.397010698
12.52185053,0.281961626
12.54229007,0.345752398
12.5627296,0.400883016
12.58316914,0.468186812
12.60360868,0.462594342
12.62404822,0.618480606
12.64448776,0.397651159
12.6649273,0.461564335
12.68536684,0.489039578
12.70580638,0.521743554
12.72624592,0.564884598
12.74668546,0.436171043
12.767125,0.430741777
12.78756453,0.553805133
12.80800407,0.663000002
12.82844361,0.525687493
12.84888315,0.612353717
12.86932269,0.690359787
12.88976223,0.405539035
12.91020177,0.56865535
12.93064131,0.605055955
12.95108085,0.679671404
12.97152039,0.698751699
12.99195993,0.572019061
13.01239946,0.566834601
13.032839,0.603337208
13.05327854,0.499235215
13.07371808,0.502792512
13.09415762,0.699078543
13.11459716,0.610662752
13.1350367,0.435461806
13.15547624,0.567572928
13.17591578,0.460121116
13.19635532,0.515884149
13.21679486,0.583820361
